,AGENCY,ADDRESS,CONTACT PERSON,FAX,TELEPHONE,SPECIALIZATION,WEBSITE,MOBILE,EMAIL,ABOUT
957,,"Shop No.7, South Market, Kidwai Nagar East ,New Delhi,Delhi(110023)",,,,,,,,
958,,Sarovar Hotels Pvt.Ltd (HONY - 662),,,,,,,,
959,,"Millennium E-48/9 Okhla Phase ,New Delhi,Delhi(110020)",,,,,,,,
960,,Sakura Holidays (ACT - 1063),,,,,,,,
961,,"224, 2nd floor Krishna Mall Plot No.5, Sector 12, Dwarka ,New Delhi,Delhi(110075)",,,,,,,,
962,,Sakkarwal Travels Pvt.Ltd. (ACT - 987),,,,,,,,
963,,"2996,38 Beadon Pura Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
964,,Leisure Republic DMC (ACT - 969),,,,,,,,
965,,"510/G 1 Shalimar Garden Extn.1 ,GHAZIABAD,Uttar Pradesh()",,,,,,,,
966,,Sahibji Travels & Tours Pvt.Ltd (ACT - 342),,,,,,,,
967,,"68/2276 1st floor Gurudwara Road Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
968,,Colorful Vacations Pvt.Ltd. (ACT - 982),,,,,,,,
969,,"CS 28 2F Ansal Plaza Vaishali ,GHAZIABAD,Uttar Pradesh()",,,,,,,,
970,,Safe Voyages Tours ( - 340),,,,,,,,
971,,"B-70, Freedom Fighter Enclave, Gate No.3, Neb Sarai,NCT of Delhi,Delhi(110068)",,,,,,,,
972,,A.S.Tours & Travels (Allied - 1112),,,,,,,,
973,,"Mamchand Sunil Kumar Petrol Pump Civil Lines ,Bijnor,Uttar Pradesh()",,,,,,,,
974,,"Royal World Travels, India (ACT - 100)",,,,,,,,
975,,"UG 44, Ansal Chambers II, 6 Bhikaji Cama Place ,New Delhi,Delhi(110066)",,,,,,,,
976,,Rose Vacations (Allied - 790),,,,,,,,
977,,"78 Mohan Singh Palace Connaught Place ,New Delhi,Delhi(110001)",,,,,,,,
978,,Convenience Travel Services (ACT - 304),,,,,,,,
979,,"Alig Corporate Plaza Marris Road ,Aligarh,Uttar Pradesh()",,,,,,,,
980,,Roop Caterers (Allied - 697),,,,,,,,
981,,"House No. 2968, Third Floor, Bhagat Singh Gali No.4, Chunamandi, Pahargan ,New Delhi,Delhi(110005)",,,,,,,,
982,,Reliable Holidays Pvt.Ltd. ( - 802),,,,,,,,
983,,"D-85, Kirti Nagar,New Delhi,Delhi(110005)",,,,,,,,
984,,Touraids (I) Travel Services (ACT - 586),,,,,,,,
985,,"30 Munro Road VIP Road to Taj Mahal ,Agra,Uttar Pradesh(282001 )",,,,,,,,
986,,Regency Tours Pvt.Ltd. (ACT - 044),,,,,,,,
987,,"120-121-D.B. Gupta Market Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
988,,Travelogue India (ACT - 347),,,,,,,,
989,,"Block 5( 1st floor) Flat No.3 Rajkamal Apartment Fatehabad Road ,Agra,Uttar Pradesh(282001 )",,,,,,,,
990,,Travel Bureau (ACT - 125),,,,,,,,
991,,"Near Hotel Taj View Fatehabad Road ,Agra,Uttar Pradesh(282001 )",,,,,,,,
992,,Regale Voyage (Allied - 753),,,,,,,,
993,,"166,167,168 (1st floor) Vikas Surya Shopping Mall Mangalam Palace, Sector 3, Rohini ,New Delhi,Delhi(110085)",,,,,,,,
994,,"R.K. Associates & Hoteliers Pvt.Ltd, (ACT - 379)",,,,,,,,
995,,"A 25 Hospital Road Janpura A ,New Delhi,Delhi(110014)",,,,,,,,
996,,Tiger Expeditions (ACT - 461),,,,,,,,
997,,"11/24 Rose Cottage B M Khan ,Agra,Uttar Pradesh(282002 )",,,,,,,,
998,,R.G. Destinations Pvt. Ltd. (ACT - 515),,,,,,,,
999,,"207, Suchet Chambers, 1224/5 Bank Street, Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
1000,,The Orchha Resort (Allied - 151),,,,,,,,
1001,,"Oswal Motels & Resorts Ltd. 30 Munro Road ,Agra,Uttar Pradesh(282001 )",,,,,,,,
1002,,Reisen Tours India Pvt.Ltd. (ACT - 485),,,,,,,,
1003,,"S 208 Arjun Plaza Plot No.7 Sector 5 Dwarka ,New Delhi,Delhi(110075 )",,,,,,,,
1004,,Taj Tours & Travels (ACT - 587),,,,,,,,
1005,,"304 Fatehabad Road Opp.Hotel The Gateway ,Agra,Uttar Pradesh(282001 )",,,,,,,,
1006,,India Tour Mantra (Allied - 1122),,,,,,,,
1007,,"UGF 1, Parsvanth Pachvati Plaza Fatehabad Road ,Agra,Uttar Pradesh(282001)",,,,,,,,
1008,,Howard Plaza (Add Category - ),,,,,,,,
1009,,"Fathehabad Road ,Agra,Uttar Pradesh(282001)",,,,,,,,
1010,,Hotel Pushp Villa (Allied - 385),,,,,,,,
1011,,"VIP Road to Taj Mahal Fatehabad Road ,Agra,Uttar Pradesh(282001 )",,,,,,,,
1012,,Rave Tours & Travels (ACT - 102),,,,,,,,
1013,,"138-A, 1st Floor Antriksh Bhawan 22, Kasturba Gandhi Marg ,New Delhi,Delhi(110001 )",,,,,,,,
1014,,Rao Travels (ACT - 246),,,,,,,,
1015,,"17, Vasant Enclave Market,,New Delhi,Delhi(110057)",,,,,,,,
1016,,Aala Tour and Travels (Allied - 784),,,,,,,,
1017,,"60 Saida Kadal Nigeen Road ,Srinagar,Jammu and Kashmir(190003 )",,,,,,,,
1018,,Radheshyam Travels Pvt.Ltd. (ACT - 544),,,,,,,,
1019,,"booking@radheshyamgroup.com ,New Delhi,Delhi(110008 )",,,,,,,,
1020,,Caravan Travels & Tours (ACT - 476),,,,,,,,
1021,,"Hotel Caravan Centre Skara ,Leh Ladakh,Jammu and Kashmir(194101 )",,,,,,,,
1022,,Punjab Heritage Tourism Promotion Board (HONY - 793),,,,,,,,
1023,,"Punjab Archives Bhawan Plot No 3 Sector 38 A, Chandigarh,Chandigarh(160036)",,,,,,,,
1024,,Third Eye Tours & Travels( (Allied - 751),,,,,,,,
1025,,"1,2nd floor Gurudwara Kalgidhar Complex BC Road ,Rehari,Jammu and Kashmir(180005 )",,,,,,,,
1026,,Sri Ganapati Tours & Holidays (Allied - 657),,,,,,,,
1027,,"Pratap Roy Road Krishnanagar ,Agartala,Tripura(799001 )",,,,,,,,
1028,,PNS Cruise (Allied - 606),,,,,,,,
1029,,"No.12 DA Market Dairy Farm, Masoodpur Vasant Kunj ,New Delhi,Delhi(110048)",,,,,,,,
1030,,PQRS India Incredible (HONY - 043),,,,,,,,
1031,,"3618A, Shanti Bhavan Near Golcha Cinema Parking Daryaganj ,New Delhi,Delhi(110002 )",,,,,,,,
1032,,Prima Travels (P) Ltd (ACT - 691),,,,,,,,
1033,,"404 Aggarwal Cyber Plaza Netajee Subhash Place Pitampura ,New Delhi,Delhi(110034 )",,,,,,,,
1034,,Promark Travel Services Pvt.Ltd. (ACT - 547),,,,,,,,
1035,,"S-2, 2nd Floor Malik Plaza Ashirwad Crossing, Sector 4 ,New Delhi,Delhi(110075 )",,,,,,,,
1036,,Primus Solutions Enterprises (Allied - 840),,,,,,,,
1037,,"U-22, GCN, Ground Floor Ramesh Nagar Metro Station ,New Delhi,Delhi(110048)",,,,,,,,
1038,,Plenary Holidays (ACT - 768),,,,,,,,
1039,,"311, H4, Vardhman North Ex Plaza Netaji Subhash Place Pitampura ,New Delhi,Delhi(110034 )",,,,,,,,
1040,,Planet India Travels Pvt.Ltd. (ACT - 152),,,,,,,,
1041,,"6, Lado Sarai, DDA Flats ,New Delhi,Delhi(110070)",,,,,,,,
1042,,Phoenix Holidays (ACT - 232),,,,,,,,
1043,,"11435, Shakti Nagar, G.T. Road, ,New Delhi,Delhi(110007 )",,,,,,,,
1044,,P. Impex Travel & Tours (ACT - 015),,,,,,,,
1045,,"AB - 8, Community Centre Safadar Jung Enclave ,New Delhi,Delhi(110048)",,,,,,,,
1046,,Pinki Tours and Travels (Regd) (ACT - 1109),,,,,,,,
1047,,"C 3 Wazirpur Industrial Area ,New Delhi,Delhi(110052)",,,,,,,,
1048,,Pearls International Tours & Travels Ltd (ACT - 1100),,,,,,,,
1049,,"904, Rohit House 3 Tolstoy Marg ,New Delhi,Delhi(110001)",,,,,,,,
1050,,Pearls International Tours & Travels Ltd (Add Category - 345),,,,,,,,
1051,,"1002 Rohit House 3 Tolstoy Marg ,New Delhi,Delhi(110001 )",,,,,,,,
1052,,Peace Travels (ACT - 275),,,,,,,,
1053,,"B 151 Eros Boulevard Shopping Complex Hotel Holiday Inn 13A Mayur Vihar Dist.Centre ,New Delhi,Delhi(110091)",,,,,,,,
1054,,Paul Merchants Ltd (ACT - 991),,,,,,,,
1055,,"DSM 346-347, DLF Towers, 15 Shivaji Marg Najafgarh Road, Moti Nagar ,New Delhi,Delhi(110015)",,,,,,,,
1056,,Paras Travel Lines (Allied - 880),,,,,,,,
1057,,"parastravellines@gmail.com ,New Delhi,Delhi(110035 )",,,,,,,,
1058,,Paradise Tour Company India Pvt. Ltd. (ACT - 775),,,,,,,,
1059,,"B 6-8/211 DDA Commercial Complex, Paschim Vihar ,New Delhi,Delhi(110063 )",,,,,,,,
1060,,Paradise Tours and Travels (ACT - 1034),,,,,,,,
1061,,"148 Amrit Kaur Market Paharganj ,New Delhi,Delhi(110055)",,,,,,,,
1062,,Panickers Travel (I) Pvt.Ltd. (Act-283) (Select Category - 283),,,,,,,,
1063,,"16/10200 Gurudwara Road Karol Bagh ,New Delhi,Delhi(110005 )",,,,,,,,
1064,,Pack N Go Holidays Pvt.Ltd. (Allied - 805),,,,,,,,
1065,,"D-1/33, 2nd Floor, Ramphal Chowk, Sector-7 ,Dwarka,Delhi(110075 )",,,,,,,,
1066,,The Blue Moon (Select Category - 488),,,,,,,,
1067,,"E 330 3rd floor Nirman Vihar ,New Delhi,Delhi(110092)",,,,,,,,
1068,,Orphic Resorts (Allied - 021),,,,,,,,
1069,,"B-201, Ansal Chambers I Bhikaji Cama Place ,New Delhi,Delhi(110066)",,,,,,,,
1070,,Oriental Vacations & Journeys Pvt.Ltd. (ACT - 452),,,,,,,,
1071,,"S 9 & 10, Second floor, Manish Royal Plaza II Plot No.20, MLU Sector 10 Dwarka ,New Delhi,Delhi(110075 )",,,,,,,,
1072,,Odyssey Tours (ACT - 186),,,,,,,,
1073,,"Shop No.7, Regal Building Behind Regal Cinema Connaught Place ,New Delhi,Delhi(41502422)",,,,,,,,
1074,,Oasis Tours India Pvt.Ltd. (ACT - 1024),,,,,,,,
1075,,"17-18 Dwarka Sadan C 40 Middle Circle, Connaught Place ,New Delhi,Delhi(110001)",,,,,,,,
1076,,The Oberoi Group (Allied - 138),,,,,,,,
1077,,"7 Sham Nath Marg, Civil Lines ,New Delhi,Delhi(110054 )",,,,,,,,
1078,,Niche India (ACT - 324),,,,,,,,
1079,,"V 4 Mayur Plaza 2Office No.302 DDA LSC Mayur Vihar Phase 1 ,New Delhi,Delhi(110091)",,,,,,,,
1080,,Next Holidays (ACT - 774),,,,,,,,
1081,,"271A/14, Balbir Nagar Extention, Swami Dayanand Marg, Shahdara ,New Delhi,Delhi(110032)",,,,,,,,
1082,,New Age Hotels & Resorts Ltd (Allied - 760),,,,,,,,
1083,,"Hotel Classic Diplomat A 4 NH 8 Mahipalpur ,New Delhi,Delhi(110037 )",,,,,,,,
1084,,Network Tours Pvt.Ltd. (MEMBER LIST - 28-B/7/1),,,,,,,,
1085,,"28-B/7/1 Jia Sarai Near IIT Gate, Hauz Khas ,New Delhi,Delhi(110016)",,,,,,,,
1086,,National & International Tours & Travels (ACT - 519),,,,,,,,
1087,,"B 11 East Arjun Nagar Opp.Hedgewar Hospitals ,New Delhi,Delhi(110032 )",,,,,,,,
1088,,Naswiz Holidays Pvt.Ltd. (Allied - 830),,,,,,,,
1089,,"810 Krishna Apra Business Square Netaji Subhash Place Pitampura ,New Delhi,Delhi(110034)",,,,,,,,
1090,,My Prety Vacations LLP (ACT - 800),,,,,,,,
1091,,"KP 23 (3rd floor) Pitampura ,New Delhi,Delhi(110034 )",,,,,,,,
1092,,Mykind Vacations Pvt.Ltd. (ACT - 590),,,,,,,,
1093,,"H 76 Shivaji Park Punjabi Bagh ,New Delhi,Delhi(110026 )",,,,,,,,
1094,,MM Travel Solutions Pvt.Ltd. (Allied - 806),,,,,,,,
1095,,"G 5, T C Jaina Tower 03 A 1 Block Janakpuri ,New Delhi,Delhi(110058 )",,,,,,,,
1096,,Moxon Tours (ACT - 131),,,,,,,,
1097,,"C-134, The East End Apartments Mayur Vihar Phase I (Extn.) Chilla, Opp. New Ashok Nagar ,New Delhi,Delhi(110096)",,,,,,,,
1098,,MOUNTAIN TRAIL HOLIDAYS (P) LTD (ACT - 177),,,,,,,,
1099,,"224, Vardhman Plaza 9, Local Shopping Centre I.P. Extension ,New Delhi,Delhi(110092)",,,,,,,,
1100,,Monal Resort (Allied - 208),,,,,,,,
1101,,"801,802, Nirmal Tower, 26, Barakhamba Road ,New Delhi,Delhi(110001)",,,,,,,,
1102,,Micro Divine Holidys Pvt.Ltd. ( - 1042),,,,,,,,
1103,,"A 144 First floor Double Storey Garhi (Near Arya Auditorium) East of Kailash ,New Delhi,Delhi(110065)",,,,,,,,
1104,,Meghdoot Travels (ACT - 616),,,,,,,,
1105,,"Hotel B B Palaces Building(2nd floor) Karol Bagh ,New Delhi,Delhi(110005 )",,,,,,,,
1106,,Maitri Holidays (ACT - 591),,,,,,,,
1107,,"783/16 Sai Chambers 203, IInd floor BD Gupta Road, Karol Bagh ,New Delhi,Delhi(110055 )",,,,,,,,
1108,,"Mapple Hotels, Palaces, Resorts (Allied - 341)",,,,,,,,
1109,,"64-B Eastern Avenue Sainik Farms ,New Delhi,Delhi(110062 )",,,,,,,,
1110,,Manu Maharani Hotels Ltd (Allied - 769),,,,,,,,
1111,,"4828/24 Prahlad Lane Ansari Road ,New Delhi,Delhi(110002 )",,,,,,,,
1112,,Manoj Tour & Travels (ACT - 1076),,,,,,,,
1113,,"G 64 Agarwal Centre Plaza D.C.Chowk, Sector 09 Rohini ,New Delhi,Delhi(110085)",,,,,,,,
1114,,Mansingh Hotels & Resorts Ltd (Allied - 040),,,,,,,,
1115,,"KCT Blocks, 2nd Floor Rishyamook 85-A, Panchkuian Road ,New Delhi,Delhi(110001)",,,,,,,,
1116,,Manali Resorts (Allied - 160),,,,,,,,
1117,,"208 (2nd floor) Allied House 1 Local Shopping Centre, Pushpavihar ,New Delhi,Delhi(110062 )",,,,,,,,
1118,,Magnate Tours and Travels India Pvt.Ltd. (ACT - 803),,,,,,,,
1119,,"Kamla Devi Bhawan 5 Deen Dayal Upadyay Marg ,New Delhi,Delhi(110002 )",,,,,,,,
1120,,Manza Holidays Pvt.Ltd. (ACT - 1111),,,,,,,,
1121,,"B 22 Ansal Chamber 2 Bhikaji Cama Place ,New Delhi,Delhi(110066)",,,,,,,,
1122,,Mail Today Newspapers Pvt.Ltd. (HONY - 503),,,,,,,,
1123,,"B 45 Sector 57,Noida,Uttar Pradesh(201301 )",,,,,,,,
1124,,The Manali Inn (Allied - 242),,,,,,,,
1125,,"C-2/56, Ashok Vihar-2 ,New Delhi,Delhi(110052 )",,,,,,,,
1126,,Loyal Tours and Travels Pvt.Ltd. (Allied - 951),,,,,,,,
1127,,"F 1/131 (2nd floor) Pragati Bhawan Mohammadpur Bhikaji Cama Place ,New Delhi,Delhi(110066)",,,,,,,,
1128,,Lordkrishna Travels (ACT - 1077),,,,,,,,
1129,,"G 3/47 Agarwal Plaza Netaji Subhash Place ,New Delhi,Delhi(110034)",,,,,,,,
1130,,Live India Tour Pvt.Ltd. (ACT - 946),,,,,,,,
1131,,"F 62, Bhagat Singh Market ,New Delhi,Delhi(110001)",,,,,,,,
1132,,Life Line Tourism Pvt.Ltd. (ACT - 653),,,,,,,,
1133,,"212, Sivam Plaza, Sector-6, Plot-3 Dwarka, ,New Delhi,Delhi(110075)",,,,,,,,
1134,,Lets travel Pvt. Ltd. (ACT - 1072),,,,,,,,
1135,,"311,B108,GD ITL TowerNetaji Subhash PlacePitampura ,New Delhi,Delhi(110034)",,,,,,,,
1136,,Leisure Tours (Add Category - 269),,,,,,,,
1137,,"I-1(2nd floor) Kirti Nagar Near Kirti Nagar Metro Station ,New Delhi,Delhi(110015 )",,,,,,,,
1138,,Leagendry Hospitality (Add Category - ),,,,,,,,
1139,,"A 106 Street No.3Near Jindal Public SchoolDashratpuri ,New Delhi,Delhi(110045)",,,,,,,,
1140,,Lawrence Travels (ACT - 002),,,,,,,,
1141,,"17A/46 First floor, W.E.A. Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
1142,,Lavida Travels (ACT - 967),,,,,,,,
1143,,"Shop No.6, Palika Parking Extension, Connaugt Place ,New Delhi,Delhi(110001)",,,,,,,,
1144,,Landmark Tours & Travels Pvt.Ltd. (ACT - 005),,,,,,,,
1145,,"15A/38, W.E.A.Karol Bagh ,New Delhi,Delhi(110005)",,,,,,,,
1146,,Kukson Travel India (ACT - 127),,,,,,,,
1147,,"13/20 East Patel NagarMarket Lane ,New Delhi,Delhi(110008)",,,,,,,,
1148,,Koti Resorts (Add Category - ),,,,,,,,
1149,,",New Delhi,Delhi(110008 )",,,,,,,,
1150,,KSM Hotel Connections India Pvt.Ltd. (ACT - 444),,,,,,,,
1151,,"12/7 LGF West Patel Nagar ,New Delhi,Delhi(110008 )",,,,,,,,
1152,,Koryo Tour Pvt.Ltd. (ACT - 980),,,,,,,,
1153,,"Unit 20 Rectangale-1 MallD 4 District CenterSaket ,New Delhi,Delhi(110017)",,,,,,,,
1154,,Kmart Tours (P) Ltd. (ACT - 261),,,,,,,,
1155,,"F-33, First Floor, Triveni Complex, Sheikh Sarai Phase ,New Delhi,Delhi(110017 )",,,,,,,,
1156,,Kikar Lodge (Allied - 337),,,,,,,,
1157,,"E 2 Defence Colony (2nd floor) ,New Delhi,Delhi(110048)",,,,,,,,
1158,,Kapil Tours & Travels (P) Ltd (ACT - 511),,,,,,,,
1159,,"28/21 LGF Old Rajendar Nagar ,New Delhi,Delhi(110060 )",,,,,,,,
1160,,Kamal Tours & Travels Pvt.Ltd. (ACT - 029),,,,,,,,
1161,,"D-6/6154/1 Vasant Kunj ,New Delhi,Delhi(110070)",,,,,,,,
1162,,Jyoti Travel Pvt.Ltd. (ACT - 093),,,,,,,,
1163,,"804, Meghdoot 94, Nehru Place ,New Delhi,Delhi(110019)",,,,,,,,
1164,,JRK Holidays Pvt. Ltd. (ACT - 605),,,,,,,,
1165,,"516, Navrang House, 21 Kasturba Gandhi Marg ,New Delhi,Delhi(110001 )",,,,,,,,
1166,,JNC Journeys (ACT - 1086),,,,,,,,
1167,,"Plot No.4, Sincere Tower Basement, Community Centre, Preet Vihar ,New Delhi,Delhi(110092)",,,,,,,,
1168,,J M D Vacations Pvt.Ltd. (Allied - 656),,,,,,,,
1169,,"53 Municipal Market (Outer Circle) Connaught Place ,New Delhi,Delhi(110001 )",,,,,,,,
1170,,Jetsave Holidays (ACT - 497),,,,,,,,
1171,,"Suite No. 401, 30/28 (4th floor) East Patel Nagar ,New Delhi,Delhi(110008)",,,,,,,,
1172,,Jet Airways (India) Ltd. (HONY - 140),,,,,,,,
1173,,"Jetair House 13 Community Centre, Yusuf Sarai ,9811906366,Delhi(110016)",,,,,,,,
1174,,Jangbogo Tour India Pvt.Ltd. (Allied - 759),,,,,,,,
1175,,"Plot No- 27, Second Floor , Poc- 14 ,Sec- 24 Rohini ,New Delhi,Delhi(110085 )",,,,,,,,
1176,,Jammu & Kashmir Tourism (HONY - 190),,,,,,,,
1177,,"M-8 Green Park Extn.,New Delhi,Delhi(110016 )",,,,,,,,
1178,,Jaishree Holidays & Tours (P) Ltd (Allied - 479),,,,,,,,
1179,,"A 16 Saraswatu Vihar Pitampura ,New Delhi,Delhi(110034 )",,,,,,,,
1180,,International Travel House Limited (ACT - 210),,,,,,,,
1181,,"Travel House, T-2, Community Centre Sheikh Sarai Phase I ,New Delhi,Delhi(10017)",,,,,,,,
1182,,International Tours & Travels (ACT - 156),,,,,,,,
1183,,"44-45 Main Road Bholanath Nagar Shahdara ,New Delhi,Delhi(110032 )",,,,,,,,
1184,,Internet Moguls (Allied - 744),,,,,,,,
1185,,"M 8 Saket New Delhi NCT of Delhi ,New Delhi,Delhi(110017 )",,,,,,,,
1186,,Infotainment Tourz Pvt.Ltd. (Allied - 771),,,,,,,,
1187,,"B-183,3rd floor, East of Kailash ,New Delhi,Delhi(110065 )",,,,,,,,
1188,,INDO MORIS HOLIDAYS (ACT - 326),,,,,,,,
1189,,"D 260 Lane No.11 2nd floor Laxmi Nagar ,New Delhi,Delhi(110092)",,,,,,,,
1190,,Indo Journeys Pvt.Ltd (ACT - 715),,,,,,,,
1191,,"3 Gangotri Bhawan 111/9 Kishangarh Aruna Asaf Ali Marg Vasant Kunj ,New Delhi,Delhi(110070 )",,,,,,,,
1192,,India Discovery Tours (ACT - 509),,,,,,,,
1193,,"11/27 (1st floor) West Patel Nagar ,New Delhi,Delhi(110008 )",,,,,,,,
1194,,Indiamiles Tours and Travels Pvt.Ltd (Allied - 574),,,,,,,,
1195,,"LGF C 507 Chittaranjan Park ,New Delhi,Delhi(110019 )",,,,,,,,
1196,,India Expedition (Allied - 527),,,,,,,,
1197,,"8A/74G Ground floor W. E. A. Karol Bagh . ,New Delhi,Delhi(110005)",,,,,,,,
1198,,Indian Railway Catering & Tourism Corpn.Ltd. (ACT - 747),,,,,,,,
1199,,"M 13 Punj House Connaught Place Opp.Gopal Das Building ,New Delhi,Delhi(110001)",,,,,,,,
1200,,Indian Holidays (ACT - 205),,,,,,,,
1201,,"H-1(B) Som Vihar Apptts, R.K. Puram ,New Delhi,Delhi(110022 )",,,,,,,,
1202,,India International Tours & Travels (ACT - 158),,,,,,,,
1203,,"150-A Kaur Market Pahar Ganj New Delhi ,New Delhi,Delhi(110055 )",,,,,,,,
1204,,Incredible Destination Management Services Pvt.Ltd. . (Allied - 361),,,,,,,,
1205,,"282, First Floor, Satya Niketan Opposite Venkateswara College ,New Delhi,Delhi(110021)",,,,,,,,
1206,,Imperium Journeys Pvt.Ltd. (ACT - 661),,,,,,,,
1207,,"WZ 1B/8 M.B.S.Nagar Opp.CRPF Camp ,New Delhi,Delhi(110018 )",,,,,,,,
1208,,Imazine Holidays Pvt.Ltd. (Allied - 770),,,,,,,,
1209,,"3rd floor Manish Plaza II Plot No.10 Sec.10 Main Market Dwarka Opposite DDA Sports Complex ,New Delhi,Delhi(110075 )",,,,,,,,
1210,,Ideas Cell Tours (ACT - 173),,,,,,,,
1211,,"A 13 Shubham 37 Patparganj I P Extension ,New Delhi,Delhi(110092 )",,,,,,,,
1212,,Hotel Sita International (Allied - 863),,,,,,,,
1213,,"3/10 Desh Bandhu Gupta Road Paharganj ,New Delhi,Delhi()",,,,,,,,
1214,,Hotel Grandsunset (Allied - 1133),,,,,,,,
1215,,"10, Raj Nagar Pitampura ,New Delhi,Delhi(110034)",,,,,,,,
1216,,Hospitality & Marketing Services (Allied - 1010),,,,,,,,
1217,,"61, A 2 Shiv Arcade Acharya Niketan Mayur Vihar Phase 1 ,New Delhi,Delhi(110091)",,,,,,,,
1218,,Hora Tourism & Hospitality (ACT - 912),,,,,,,,
1219,,"B-6/117, Ground Floor,Shiva Road, Sector 8, Rohini ,New Delhi,Delhi(110085)",,,,,,,,
1220,,HOLIDAY MOODS ADVENTURES PVT.LTD (ACT - 162),,,,,,,,
1221,,"07 Shivlok House II Karamapura Community Complex Opp: Milan Cinema ,New Delhi,Delhi(110015)",,,,,,,,
1222,,Holiday Links (P) Ltd (ACT - 209),,,,,,,,
1223,,"C 21 Community Centre East of Kailash ,New Delhi,Delhi(110065 )",,,,,,,,
1224,,Honeygold Retreats Pvt.Ltd. (ACT - 872),,,,,,,,
1225,,"304-305Mahadevi Chambers B N Block Shalimar Bagh (West) ,New Delhi,Delhi(110088 )",,,,,,,,
1226,,Himachal Tourists Reservationn Center (ACT - 716),,,,,,,,
1227,,"Ground Floor, Chanderlok Building 36 Janpath ,New Delhi,Delhi(110001 )",,,,,,,,
1228,,Hiwings Travel Solutions (ACT - 453),,,,,,,,
1229,,"A 506 Somdutt Chambers 1 V Bhikaji Cama Place ,New Delhi,Delhi(110066 )",,,,,,,,
1230,,Highway Travels (Allied - 709),,,,,,,,
1231,,"Shop No.31 Andrews Ganj Market (Behind Def.colony Police Station) ,New Delhi,Delhi(110049 )",,,,,,,,
1232,,HIGH FLYER (ACT - 487),,,,,,,,
1233,,"100 Municipal Market Connaught Circus ,New Delhi,Delhi(110001 )",,,,,,,,
1234,,HATT News (HONY - 148),,,,,,,,
1235,,"C2D/65C, Janakpuri ,New Delhi,Delhi(110058 )",,,,,,,,
1236,,Gyan Holidays Pvt.Ltd. (Allied - 1003),,,,,,,,
1237,,"A-71, Tamoor Nagar ,New Delhi,Delhi(110025)",,,,,,,,
1238,,Gujral Tours & Travels Pvt.Ltd. (ACT - 302),,,,,,,,
1239,,"GL13 Jail Road ,New Delhi,Delhi(110058 )",,,,,,,,
1240,,Gnet India Tour & Travels (Allied - 284),,,,,,,,
1241,,"Unit No.722, Westend Mall, Janak Puri ,New Delhi,Delhi(110058)",,,,,,,,
1242,,Great Indian Journey (Allied - 854),,,,,,,,
1243,,"No.480 DDA Flats Sector 13 Pocket A Dwarka ,New Delhi,Delhi(110078 )",,,,,,,,
1244,,Great Rocksport Pvt. Ltd. (ACT - 588),,,,,,,,
1245,,"3392 South Patel Nagar ,New Delhi,Delhi(110008 )",,,,,,,,
1246,,Greenview Holidays (ACT - 887),,,,,,,,
1247,,"5/4/10 Geeta Colony ,New Delhi,Delhi(110031)",,,,,,,,
1248,,Green Tourist Services Pvt.Ltd (Allied - 602),,,,,,,,
1249,,"Shop No.9 Sector 2 Market R K Puram ,New Delhi,Delhi(110022 )",,,,,,,,
1250,,Green Chili Holidays (ACT - 977),,,,,,,,
1251,,"1/23 Krishna Nagar Safdarjung Enclave New Delhi ,New Delhi,Delhi(110029)",,,,,,,,
1252,,Grande Tours & Travels (Allied - 601),,,,,,,,
1253,,"Shop No.4 DDA Shopping Centre II Phase I, Maya Puri ,New Delhi,Delhi(110064 )",,,,,,,,
1254,,GMS Hospitality Services Pvt.Ltd (Allied - 1045),,,,,,,,
1255,,"D - 143A (Third floor) East of Kailash ,New Delhi,Delhi(110065)",,,,,,,,
1256,,Globe 1 Tourism & Marketing (Add Category - ),,,,,,,,
1257,,"C-9 9619 Vasant Kunj ,New Delhi,Delhi(110070 )",,,,,,,,
1258,,Global Journey Holidays (Allied - 895),,,,,,,,
1259,,"A 41 Street No.6 West Vinod Nagar ,New Delhi,Delhi(110092)",,,,,,,,
1260,,Global Passages Pvt.Ltd (ACT - 552),,,,,,,,
1261,,"511 Antriksh Bhavan 22 Kasturba Gandhi Marg ,New Delhi,Delhi(110001 )",,,,,,,,
1262,,Go India Vacations Pvt. Ltd. (ACT - 493),,,,,,,,
1263,,"C-51, Malviya Nagar(2nd floor),NCT of Delhi,Delhi(110017 )",,,,,,,,
1264,,Globe India Travels ( (ACT - 420),,,,,,,,
1265,,"G 24 DDA flats, Vasant Enclave, Vasant Vihar New Delhi ,New Delhi,Delhi(110057 )",,,,,,,,
1266,,Geanis World Holidays (ACT - 553),,,,,,,,
1267,,"16/2 Prem Nagar Janakpuri (oppisite Tilak Nagar Metro Station G.No.4) ,New Delhi,Delhi(110058 )",,,,,,,,
1268,,Gaurav Travels (ACT - 689),,,,,,,,
1269,,"B 3, 47/21-22 Aman Chambers Main Pusa Road Old Rajinder Nagar New Delhi ,New Delhi,Delhi(110060 )",,,,,,,,
1270,,Gajraj Wildlife Resorts Pvt.Ltd. (Allied - 809),,,,,,,,
